epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,504.906,1.2721,0.66634,1.00615,0.7888,0.78797,0.85241,0.4348,1.63664,0.91334,1.28468,0.00173072,0.00173072,0.00173072
70,514.654,1.25558,0.6974,1.06055,0.8166,0.81013,0.8639,0.45823,1.52875,0.79572,1.23004,0.00172676,0.00172676,0.00172676
71,524.5,1.27032,0.72891,1.05164,0.83433,0.80748,0.85588,0.41958,1.61438,0.83671,1.26708,0.0017228,0.0017228,0.0017228
72,534.63,1.24669,0.70721,1.06242,0.83411,0.79325,0.8465,0.43912,1.55853,0.89938,1.24865,0.00171884,0.00171884,0.00171884
73,543.024,1.20499,0.68742,1.01962,0.83511,0.81857,0.86905,0.4689,1.50541,0.79843,1.23079,0.00171488,0.00171488,0.00171488
74,551.635,1.28443,0.68094,1.04513,0.84675,0.79266,0.87212,0.45489,1.60546,0.79838,1.2658,0.00171092,0.00171092,0.00171092
75,558.401,1.20997,0.67729,1.01857,0.84473,0.78046,0.86238,0.41836,1.64557,0.85232,1.3037,0.00170696,0.00170696,0.00170696
76,565.182,1.21229,0.6704,1.01514,0.84821,0.7545,0.86268,0.43831,1.67479,0.83,1.29939,0.001703,0.001703,0.001703
77,571.923,1.24792,0.69312,1.04038,0.89636,0.76793,0.87052,0.44968,1.58191,0.77406,1.26548,0.00169904,0.00169904,0.00169904
78,579.342,1.18184,0.66441,1.00593,0.85749,0.77637,0.8646,0.45567,1.57638,0.81946,1.28193,0.00169508,0.00169508,0.00169508
79,587.561,1.22615,0.6619,1.02099,0.84797,0.78059,0.86958,0.47157,1.53015,0.76674,1.25945,0.00169112,0.00169112,0.00169112
80,597.8,1.24589,0.67174,1.02644,0.82605,0.80147,0.86549,0.45576,1.5679,0.82194,1.26052,0.00168716,0.00168716,0.00168716
81,606.091,1.2143,0.69294,1.04244,0.83878,0.7464,0.85694,0.45171,1.57434,0.8495,1.2594,0.0016832,0.0016832,0.0016832
82,614.392,1.2453,0.69758,1.03015,0.79802,0.80169,0.87323,0.45131,1.56999,0.80376,1.27335,0.00167924,0.00167924,0.00167924
83,621.015,1.21394,0.66239,1.02305,0.82101,0.80169,0.8733,0.44899,1.62528,0.83163,1.2986,0.00167528,0.00167528,0.00167528
84,628.127,1.21042,0.66818,1.03931,0.8547,0.83122,0.8775,0.46578,1.55359,0.82252,1.27271,0.00167132,0.00167132,0.00167132
85,637.732,1.22883,0.67581,1.03531,0.80647,0.79122,0.86532,0.4463,1.61821,0.84705,1.27551,0.00166736,0.00166736,0.00166736
86,646.207,1.21945,0.67259,1.01531,0.80726,0.81857,0.87403,0.46469,1.60359,0.86421,1.28916,0.0016634,0.0016634,0.0016634
87,655.681,1.20578,0.65653,1.03451,0.87838,0.79325,0.86983,0.44957,1.59712,0.79417,1.27543,0.00165944,0.00165944,0.00165944
88,664.174,1.17163,0.64575,1.01386,0.83678,0.78903,0.86451,0.4487,1.57395,0.82242,1.25897,0.00165548,0.00165548,0.00165548
89,672.031,1.23026,0.67149,1.02368,0.87577,0.81435,0.8667,0.45399,1.5486,0.76774,1.26237,0.00165152,0.00165152,0.00165152
90,678.827,1.17585,0.66042,0.99485,0.81614,0.79747,0.86141,0.44176,1.61093,0.79597,1.28576,0.00164756,0.00164756,0.00164756
91,685.421,1.16236,0.64349,1.00067,0.87507,0.74684,0.85198,0.4521,1.5742,0.83539,1.2742,0.0016436,0.0016436,0.0016436
92,692.045,1.21322,0.66194,1.02275,0.83139,0.79325,0.83378,0.42307,1.69694,0.87646,1.33044,0.00163964,0.00163964,0.00163964
93,698.749,1.17481,0.65799,1.03015,0.80727,0.83065,0.85103,0.46299,1.57188,0.84664,1.26377,0.00163568,0.00163568,0.00163568
94,705.332,1.17776,0.64557,1.01568,0.86138,0.76034,0.84824,0.4348,1.63291,0.84712,1.30116,0.00163172,0.00163172,0.00163172
95,711.963,1.15716,0.62354,0.98615,0.79711,0.80591,0.86089,0.44003,1.60618,0.83135,1.29489,0.00162776,0.00162776,0.00162776
96,718.67,1.16412,0.64748,0.99712,0.79999,0.83544,0.86102,0.44504,1.6635,0.83719,1.31495,0.0016238,0.0016238,0.0016238
97,725.287,1.20671,0.63898,1.02339,0.82182,0.81013,0.87145,0.45136,1.62193,0.79991,1.29277,0.00161984,0.00161984,0.00161984
98,731.982,1.17571,0.66153,1.01498,0.85747,0.78692,0.85468,0.45163,1.61339,0.82401,1.29636,0.00161588,0.00161588,0.00161588
